[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3895749970.01412,06/12/2023,4:46 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1154,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM783,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,771,PREAMP_SERIAL_NUMBER
INFO,906,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MoS2,SAMPLE_MATERIAL
INFO,First Batch 2022,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3895751110.4145,49.9951877593994,1821.08489990234,-1.03328604309864E-5,3.35823556604909E-7,1,0.499626677034896,40.0298881530762,1.98384158933056,17.7599992603064,-0.000104782905972269,-3.96974412770596E-5,0.25,-1.89999798686478E-6,-1.03020821361204E-5,-1.97372351697386E-6,49.9953346252441,49.9953346252441,1818.55895996094,1823.61083984375,51.789924055717,20.3865828449574,0.987619876861572,0,0,0,20,50.6929054260254,1,6,3,2.20901489257813,44.4770278930664,,,,,,,,,,,,,,,,
,3895751110.9125,49.9949436187744,1826.08239746094,-9.75575730482363E-6,2.88606182318443E-7,1,0.499626677034896,40.0298881530762,1.98390700897606,17.7599992603064,-9.92779145549673E-5,-3.55935611050421E-5,0.25,-1.6139547663297E-6,-9.72803629496059E-6,-1.68385292575599E-6,49.9950408935547,49.9950408935547,1823.61083984375,1828.55395507813,51.6625186070824,20.3888796104367,0.987690687179565,0,0,0,20,50.6925010681152,1,6,3,2.20626831054687,43.9882698059082,,,,,,,,,,,,,,,,
,3895751111.412,49.9948463439941,1831.04779052734,-1.01250397537453E-5,4.78791961266417E-7,1,0.499626677034896,40.0298881530762,1.98390700897606,17.7599992603064,-0.000103255678170772,-3.5735010819471E-5,0.25,-1.56012320833467E-6,-1.00971251416852E-5,-1.63285276541354E-6,49.9948463439941,49.9948463439941,1828.55395507813,1833.54162597656,52.5176202071209,20.3888796104367,0.98762571811676,0,0,0,20,50.6933898925781,1,6,3,2.20565795898438,43.9882698059082,,,,,,,,,,,,,,,,
,3895751111.9135,49.9949188232422,1836.47113037109,-1.04942462948826E-5,3.87165153749605E-7,1,0.499626677034896,40.0298881530762,1.98386395916496,17.7599992603064,-0.000106582828431329,-3.94283753537707E-5,0.25,-1.84489455537205E-6,-1.0463622736822E-5,-1.9199093413489E-6,49.9949188232422,49.9949188232422,1834.44519042969,1838.4970703125,51.7328651738132,20.3892205131973,0.987737953662872,0,0,0,20,50.6936645507812,1,6,3,2.19863891601562,43.9882698059082,,,,,,,,,,,,,,,,
,3895751112.398,49.9948787689209,1841.01611328125,-1.03800701279023E-5,3.53071121373977E-7,1,0.499626677034896,40.0298881530762,1.98386395916496,17.7599992603064,-0.0001049671521544,-4.15015599075766E-5,0.25,-2.06329212534596E-6,-1.03480092707007E-5,-2.13710680680417E-6,49.9949188232422,49.9949188232422,1838.4970703125,1843.53515625,51.6101494962939,20.3892205131973,0.987888038158417,0,0,0,20,50.6929779052734,1,6,3,2.20870971679687,43.0107536315918,,,,,,,,,,,,,,,,
,3895751112.895,49.9949855804443,1845.52630615234,-1.07877955048732E-5,4.82874805031842E-7,1,0.499626677034896,40.0298881530762,1.98386325833432,17.7599992603064,-0.00011057551147453,-3.49831220250271E-5,0.25,-1.36772856938714E-6,-1.07602489541926E-5,-1.44569450788285E-6,49.9948387145996,49.9948387145996,1843.53515625,1847.51745605469,52.5379425486209,20.3864384216154,0.987559497356415,0,0,0,20,50.6936645507812,1,6,3,2.20779418945313,43.0107536315918,,,,,,,,,,,,,,,,
,3895751113.408,49.9950370788574,1851.07885742187,-1.09347301535454E-5,3.99182288601831E-7,1,0.499626677034896,40.0298881530762,1.98386325833432,17.7599992603064,-0.000112082412961446,-3.54552995297641E-5,0.25,-1.38594620244741E-6,-1.09068140157248E-5,-1.46497511752671E-6,49.9951324462891,49.9951324462891,1848.49377441406,1853.66394042969,51.9368702173324,20.3864384216154,0.987642228603363,0,0,0,20,50.6941032409668,1,6,3,2.20855712890625,45.4545478820801,,,,,,,,,,,,,,,,
,3895751113.9075,49.995059967041,1856.55505371094,-9.95351048342172E-6,3.58552212592802E-7,1,0.499626677034896,40.0298881530762,1.98385613245478,17.7599992603064,-0.000101140736421266,-3.71218560510654E-5,0.25,-1.72364382252919E-6,-9.92466773721944E-6,-1.79483716042041E-6,49.9949417114258,49.9949417114258,1854.58154296875,1858.52856445313,52.0806898648709,20.387288060118,0.987670421600342,0,0,0,20,50.6941032409668,1,6,3,2.21023559570313,44.9657897949219,,,,,,,,,,,,,,,,
,3895751114.3955,49.9951782226562,1861.05053710938,-1.04737555918203E-5,4.28035668424933E-7,1,0.499626677034896,40.0298881530762,1.98385613245478,17.7599992603064,-0.00010665650806266,-3.78037411725891E-5,0.25,-1.69380213057783E-6,-1.04442988169513E-5,-1.76891016939969E-6,49.9951782226562,49.9951782226562,1858.52856445313,1863.57250976562,52.1815199438517,20.387288060118,0.987693607807159,0,0,0,20,50.6940841674805,1,6,3,2.21969604492187,44.4770278930664,,,,,,,,,,,,,,,,
,3895751114.8915,49.9953022003174,1866.09417724609,-1.03525550811786E-5,3.68133832781287E-7,1,0.499626677034896,40.0298881530762,1.98394040068171,17.7599992603064,-0.000104337057622071,-4.33453042548103E-5,0.25,-2.24386959722944E-6,-1.03192081089646E-5,-2.31719156861896E-6,49.9951782226562,49.9951782226562,1863.57250976562,1868.61584472656,52.565299546794,20.3843489022526,0.987609505653381,0,0,0,20,50.6933975219727,1,6,3,2.21206665039062,42.5219955444336,,,,,,,,,,,,,,,,
